OpenTime,Open,High,Low,Close,TickVolume
2020-08-11 09:00:00.0000000,11028.1,11090.85,10949.2,11068.6,90848
2020-08-11 13:00:00.0000000,11069.1,11079.1,10852.5,10916.6,75510
2020-08-11 17:00:00.0000000,10939.95,10956.7,10892.95,10905.2,12811
2020-08-11 21:00:00.0000000,10904.95,10934.7,10886.45,10904.2,20656
2020-08-12 01:00:00.0000000,10903.7,10992.85,10895.45,10978.2,28836
2020-08-12 05:00:00.0000000,10978.7,10997.95,10940.55,10955.7,22760
2020-08-12 09:00:00.0000000,10955.45,11171.95,10942.45,11135.95,77754
2020-08-12 13:00:00.0000000,11136.2,11191.55,11122.7,11125.45,53727
2020-08-12 17:00:00.0000000,11126.05,11156.8,11108.15,11113.9,9660
2020-08-12 21:00:00.0000000,11114.15,11141.85,11101.9,11124.85,16149
2020-08-13 01:00:00.0000000,11124.6,11155.85,11102.35,11126.1,22368
2020-08-13 05:00:00.0000000,11125.6,11205.1,11114.6,11198.35,18491
2020-08-13 09:00:00.0000000,11198.6,11266.6,11171.95,11265,74008
2020-08-13 13:00:00.0000000,11265.5,11271.75,11136.7,11189.3,69963
2020-08-13 17:00:00.0000000,11194.55,11220.55,11187.3,11199.05,7642
2020-08-13 21:00:00.0000000,11199.05,11218.05,11191.55,11208.55,14374
2020-08-14 01:00:00.0000000,11208.3,11243.8,11153.05,11165.45,27221
2020-08-14 05:00:00.0000000,11165.2,11223.8,11144.65,11203.05,24292
2020-08-14 09:00:00.0000000,11202.8,11212.9,11101.6,11174.6,80145
2020-08-14 13:00:00.0000000,11174.85,11179.35,11125.75,11152.35,47651
2020-08-16 17:00:00.0000000,11162.4,11170.4,11155.9,11165.4,6800
2020-08-16 21:00:00.0000000,11165.15,11196.4,11160.9,11188.4,11737
2020-08-17 01:00:00.0000000,11188.65,11214.4,11181.9,11202.15,22511
2020-08-17 05:00:00.0000000,11202.4,11239.4,11200.4,11233.65,15625
2020-08-17 09:00:00.0000000,11234.15,11283.15,11229.15,11279.15,56100
2020-08-17 13:00:00.0000000,11279.65,11306.9,11275.15,11293.4,31934
2020-08-17 17:00:00.0000000,11292.6,11318.1,11289.6,11308.85,7295
2020-08-17 21:00:00.0000000,11308.6,11311.6,11287.1,11301.35,12818
2020-08-18 01:00:00.0000000,11301.6,11304.85,11278.7,11299.85,17992
2020-08-18 05:00:00.0000000,11299.6,11353.25,11297.6,11338.75,17976
2020-08-18 09:00:00.0000000,11338.5,11390.85,11275.6,11376.6,68656
2020-08-18 13:00:00.0000000,11376.85,11421.55,11370.1,11420.55,37706
2020-08-18 17:00:00.0000000,11416.8,11423.05,11402.3,11410.05,7161
2020-08-18 21:00:00.0000000,11410.3,11433.3,11408.8,11421.3,10893
2020-08-19 01:00:00.0000000,11421.05,11431.8,11396.3,11421.3,17755
2020-08-19 05:00:00.0000000,11421.05,11432.55,11378.3,11384.05,15548
2020-08-19 09:00:00.0000000,11384.3,11441.3,11337.05,11426.3,65548
2020-08-19 13:00:00.0000000,11426.55,11435.55,11303.05,11325.35,59142
2020-08-19 17:00:00.0000000,11330.15,11333.65,11282.4,11296.65,8629
2020-08-19 21:00:00.0000000,11296.9,11297.65,11225.15,11255.4,21850
2020-08-20 01:00:00.0000000,11255.65,11302.9,11254.4,11295.9,27969
2020-08-20 05:00:00.0000000,11295.4,11339.9,11289.4,11306.9,22315
2020-08-20 09:00:00.0000000,11307.15,11427.9,11270.9,11402.6,68108
2020-08-20 13:00:00.0000000,11402.35,11500,11392.75,11484.25,44577
2020-08-20 17:00:00.0000000,11489.9,11522.15,11486.4,11522.15,8460
2020-08-20 21:00:00.0000000,11522.4,11527.9,11496.7,11510.65,16099
2020-08-21 01:00:00.0000000,11510.4,11513.65,11465.4,11481.9,24077
2020-08-21 05:00:00.0000000,11481.65,11499.65,11411.15,11467.9,31708
2020-08-21 09:00:00.0000000,11468.4,11562.05,11454.2,11543.55,80528
2020-08-21 13:00:00.0000000,11543.8,11577.4,11518.3,11566.7,46784
2020-08-23 17:00:00.0000000,11582.8,11596.55,11571.15,11592.8,11719
2020-08-23 21:00:00.0000000,11592.55,11618.7,11584.55,11609.55,15587
2020-08-24 01:00:00.0000000,11609.3,11680.1,11604.3,11675.5,24297
2020-08-24 05:00:00.0000000,11675.75,11700,11658.35,11691.35,17943
2020-08-24 09:00:00.0000000,11691.6,11726.45,11533.25,11609.6,95044
2020-08-24 13:00:00.0000000,11609.35,11646.1,11551.6,11637.85,60394
2020-08-24 17:00:00.0000000,11639.35,11661.1,11635.6,11656.85,10408
2020-08-24 21:00:00.0000000,11656.6,11694.1,11654.1,11681.6,17507
2020-08-25 01:00:00.0000000,11681.35,11691.85,11656.1,11665.6,23822
2020-08-25 05:00:00.0000000,11665.85,11669.35,11612.35,11628.6,21719
2020-08-25 09:00:00.0000000,11628.35,11695.7,11580.1,11666.85,86339
2020-08-25 13:00:00.0000000,11667.1,11746.6,11654.85,11740.35,44714
2020-08-25 17:00:00.0000000,11740.1,11762.1,11734.6,11744.85,8498
2020-08-25 21:00:00.0000000,11744.6,11754.6,11734.35,11743.6,13864
2020-08-26 01:00:00.0000000,11743.35,11770.6,11731.1,11764.6,21483
2020-08-26 05:00:00.0000000,11764.85,11787.85,11739.7,11755.85,18423
2020-08-26 09:00:00.0000000,11755.35,11954.5,11755.35,11907.35,76428
2020-08-26 13:00:00.0000000,11907.1,12005.55,11872.8,11988.3,63434
